,vehicle_id,vehicle_type,nr_of_stops,stopping_station_ids
29,IC1538,IC,16,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009', u'008891405']"
30,IC1539,IC,16,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009', u'008891405']"
31,IC1540,IC,16,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009', u'008891405']"
32,IC1541,IC,16,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009', u'008891405']"
33,IC1542,IC,16,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009', u'008891405']"
34,IC1543,IC,15,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009']"
35,IC1544,IC,15,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009']"
36,IC1607,IC,18,"[u'008891660', u'008891652', u'008891645', u'008891009', u'008891140', u'008892007', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008831807', u'008831039', u'008831005', u'008832375', u'008831781', u'008831765']"
37,IC1608,IC,18,"[u'008891660', u'008891652', u'008891645', u'008891009', u'008891140', u'008892007', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008831807', u'008831039', u'008831005', u'008832375', u'008831781', u'008831765']"
38,IC1619,IC,18,"[u'008891660', u'008891652', u'008891645', u'008891009', u'008891140', u'008892007', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008831807', u'008831039', u'008831005', u'008832375', u'008831781', u'008831765']"
39,IC1632,IC,4,"[u'008891009', u'008891645', u'008891652', u'008891660']"
40,IC1633,IC,19,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008811130', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009', u'008891645', u'008891652', u'008891660']"
41,IC1637,IC,18,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009', u'008891645', u'008891652', u'008891660']"
42,IC1639,IC,18,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009', u'008891645', u'008891652', u'008891660']"
43,IC1704,IC,14,"[u'008881000', u'008881166', u'008883113', u'008883006', u'008814308', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008841400', u'008841202', u'008841004']"
44,IC1705,IC,21,"[u'008884335', u'008884350', u'008884327', u'008884319', u'008884004', u'008884541', u'008884566', u'008881000', u'008881166', u'008883113', u'008883006', u'008814308', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008841400', u'008841202', u'008841004']"
45,IC1706,IC,21,"[u'008884335', u'008884350', u'008884327', u'008884319', u'008884004', u'008884541', u'008884566', u'008881000', u'008881166', u'008883113', u'008883006', u'008814308', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008841400', u'008841202', u'008841004']"
46,IC1707,IC,21,"[u'008884335', u'008884350', u'008884327', u'008884319', u'008884004', u'008884541', u'008884566', u'008881000', u'008881166', u'008883113', u'008883006', u'008814308', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008841400', u'008841202', u'008841004']"
47,IC1708,IC,21,"[u'008884335', u'008884350', u'008884327', u'008884319', u'008884004', u'008884541', u'008884566', u'008881000', u'008881166', u'008883113', u'008883006', u'008814308', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008841400', u'008841202', u'008841004']"
48,IC1710,IC,21,"[u'008884335', u'008884350', u'008884327', u'008884319', u'008884004', u'008884541', u'008884566', u'008881000', u'008881166', u'008883113', u'008883006', u'008814308', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008841400', u'008841202', u'008841004']"
49,IC1711,IC,21,"[u'008884335', u'008884350', u'008884327', u'008884319', u'008884004', u'008884541', u'008884566', u'008881000', u'008881166', u'008883113', u'008883006', u'008814308', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008841400', u'008841202', u'008841004']"
50,IC1712,IC,21,"[u'008884335', u'008884350', u'008884327', u'008884319', u'008884004', u'008884541', u'008884566', u'008881000', u'008881166', u'008883113', u'008883006', u'008814308', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008841400', u'008841202', u'008841004']"
51,IC1713,IC,21,"[u'008884335', u'008884350', u'008884327', u'008884319', u'008884004', u'008884541', u'008884566', u'008881000', u'008881166', u'008883113', u'008883006', u'008814308', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008841400', u'008841202', u'008841004']"
52,IC1714,IC,21,"[u'008884335', u'008884350', u'008884327', u'008884319', u'008884004', u'008884541', u'008884566', u'008881000', u'008881166', u'008883113', u'008883006', u'008814308', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008841400', u'008841202', u'008841004']"
